unix;low;high;open;close;volume;date
1451692800;397.61;402.65;401.32;400.59;174.17812579;2016-01-02 01:00:00;None
1451779200;392.39;400.88;400.59;397.16;197.69053136;2016-01-03 01:00:00;None
1451865600;396.35;403.0;396.75;400.23;283.39790448;2016-01-04 01:00:00;None
1451952000;399.85;404.77;400.86;403.2;504.93077057;2016-01-05 01:00:00;None
1452038400;398.25;403.99;402.89;400.06;354.80115769;2016-01-06 01:00:00;None
1452124800;398.85;422.01;400.24;419.63;799.62291118;2016-01-07 01:00:00;None
1452211200;410.05;426.0;419.54;417.02;526.18323476;2016-01-08 01:00:00;None
1452297600;411.0;417.66;417.02;412.99;254.84674423;2016-01-09 01:00:00;None
1452384000;404.83;416.44;413.3;413.13;187.64207958;2016-01-10 01:00:00;None
1452470400;407.05;416.08;413.44;414.75;280.26650643;2016-01-11 01:00:00;None
1452556800;399.48;416.43;415.98;401.35;538.46611944;2016-01-12 01:00:00;None
1452643200;392.3;405.0;401.35;398.03;751.73708238;2016-01-13 01:00:00;None
1452729600;392.3;400.55;398.03;397.16;392.44287543;2016-01-14 01:00:00;None
1452816000;328.57;411.98;396.38;328.57;2522.19448817;2016-01-15 01:00:00;None
1452902400;306.84;356.64;327.82;355.52;1754.94776722;2016-01-16 01:00:00;None
1452988800;347.52;357.29;355.61;347.54;602.45645842;2016-01-17 01:00:00;None
1453075200;341.54;354.73;347.54;352.36;856.42279692;2016-01-18 01:00:00;None
1453161600;340.66;355.3;352.71;344.36;769.95619126;2016-01-19 01:00:00;None
1453248000;339.79;385.47;344.84;385.47;1398.38657074;2016-01-20 01:00:00;None
1453334400;371.17;388.86;384.65;377.59;810.97568855;2016-01-21 01:00:00;None
1453420800;347.22;379.92;376.17;355.19;702.88346408;2016-01-22 01:00:00;None
1453507200;355.01;367.49;355.12;359.05;378.78836339;2016-01-23 01:00:00;None
1453593600;358.22;378.62;359.2;374.22;289.67105333;2016-01-24 01:00:00;None
1453680000;356.67;374.19;374.19;361.65;449.86514094;2016-01-25 01:00:00;None
1453766400;357.32;367.48;361.69;361.48;450.66001593;2016-01-26 01:00:00;None
1453852800;359.13;366.32;361.58;362.22;509.35540869;2016-01-27 01:00:00;None
1453939200;344.12;363.24;362.44;348.04;865.41781856;2016-01-28 01:00:00;None
1454025600;333.83;354.99;347.89;350.71;551.83908523;2016-01-29 01:00:00;None
1454112000;347.34;355.0;350.65;350.31;279.01829627;2016-01-30 01:00:00;None
1454198400;336.95;353.33;350.26;340.41;334.85044633;2016-01-31 01:00:00;None
1454284800;332.49;349.44;340.85;341.28;466.35209307;2016-02-01 01:00:00;None
1454371200;339.0;345.32;340.59;342.46;613.11017676;2016-02-02 01:00:00;None
1454457600;330.35;342.87;341.79;332.26;494.17076527;2016-02-03 01:00:00;None
1454544000;331.28;349.31;332.74;347.63;669.28720552;2016-02-04 01:00:00;None
1454630400;336.93;349.0;346.17;344.26;554.63935125;2016-02-05 01:00:00;None
1454716800;332.5;345.49;344.49;336.27;291.82220869;2016-02-06 01:00:00;None
1454803200;334.47;342.48;337.09;337.63;175.07431562;2016-02-07 01:00:00;None
1454889600;330.29;341.45;337.83;332.23;504.98449935;2016-02-08 01:00:00;None
1454976000;328.27;334.35;332.26;330.8;650.36210248;2016-02-09 01:00:00;None
1455062400;328.7;341.0;330.8;335.85;558.66202964;2016-02-10 01:00:00;None
1455148800;327.03;336.82;335.85;334.97;642.40261563;2016-02-11 01:00:00;None
1455235200;325.89;340.96;334.96;339.78;518.64799565;2016-02-12 01:00:00;None
